Product,Month,Sales
ProductA,2019-03-01,608
ProductA,2019-04-01,6838
ProductA,2019-05-01,12195
ProductA,2019-06-01,26292
ProductA,2019-07-01,31547
ProductA,2019-08-01,29223
ProductA,2019-09-01,17732
ProductA,2019-10-01,18103
ProductA,2019-11-01,19108
ProductA,2019-12-01,21857
ProductA,2020-01-01,9078
ProductA,2020-02-01,22549
ProductA,2020-03-01,25718
ProductA,2020-04-01,32206
ProductA,2020-05-01,32967
ProductA,2020-06-01,45529
ProductA,2020-07-01,32841
ProductA,2020-08-01,22472
ProductA,2020-09-01,23712
ProductA,2020-10-01,22037
ProductA,2020-11-01,34186
ProductA,2020-12-01,31094
ProductA,2021-01-01,21222
ProductA,2021-02-01,22720
ProductA,2021-03-01,26973
ProductA,2021-04-01,24975
ProductA,2021-05-01,24933
ProductA,2021-06-01,39105
ProductA,2021-07-01,31833
ProductA,2021-08-01,22090
ProductA,2021-09-01,21317
ProductA,2021-10-01,25719
ProductA,2021-11-01,37401
ProductA,2021-12-01,27960
ProductA,2022-01-01,13868
ProductA,2022-02-01,14770
ProductA,2022-03-01,14141
ProductA,2022-04-01,15896
ProductA,2022-05-01,19043
ProductA,2022-06-01,29749
ProductA,2022-07-01,13204
ProductA,2022-08-01,14020
ProductA,2022-09-01,9000
ProductA,2022-10-01,10995
ProductA,2022-11-01,15192
ProductA,2022-12-01,19347
ProductA,2023-01-01,10925
ProductB,2019-08-01,234
ProductB,2019-09-01,112
ProductB,2019-10-01,178
ProductB,2019-11-01,173
ProductB,2019-12-01,126
ProductB,2020-01-01,28
ProductB,2020-02-01,56
ProductB,2020-03-01,168
ProductB,2020-04-01,576
ProductB,2020-05-01,1786
ProductB,2020-06-01,3067
ProductB,2020-07-01,2208
ProductB,2020-08-01,4014
ProductB,2020-09-01,2935
ProductB,2020-10-01,2574
ProductB,2020-11-01,3404
ProductB,2020-12-01,8188
ProductB,2021-01-01,6472
ProductB,2021-02-01,16860
ProductB,2021-03-01,6678
ProductB,2021-04-01,2570
ProductB,2021-05-01,12456
ProductB,2021-06-01,23177
ProductB,2021-07-01,28984
ProductB,2021-08-01,16063
ProductB,2021-09-01,6561
ProductB,2021-10-01,10641
ProductB,2021-11-01,10847
ProductB,2021-12-01,12522
ProductB,2022-01-01,5412
ProductB,2022-02-01,3958
ProductB,2022-03-01,4863
ProductB,2022-04-01,5829
ProductB,2022-05-01,6706
ProductB,2022-06-01,7283
ProductB,2022-07-01,5712
ProductB,2022-08-01,4253
ProductB,2022-09-01,2495
ProductB,2022-10-01,2565
ProductB,2022-11-01,4572
ProductB,2022-12-01,3362
ProductB,2023-01-01,919
ProductC,2019-12-01,12586
ProductC,2020-01-01,18965
ProductC,2020-02-01,20313
ProductC,2020-03-01,10978
ProductC,2020-04-01,30933
ProductC,2020-05-01,58457
ProductC,2020-06-01,54266
ProductC,2020-07-01,48127
ProductC,2020-08-01,34763
ProductC,2020-09-01,18068
ProductC,2020-10-01,11768
ProductC,2020-11-01,17480
ProductC,2020-12-01,16984
ProductC,2021-01-01,14588
ProductC,2021-02-01,13619
ProductC,2021-03-01,19821
ProductC,2021-04-01,28891
ProductC,2021-05-01,31504
ProductC,2021-06-01,46536
ProductC,2021-07-01,35328
ProductC,2021-08-01,22974
ProductC,2021-09-01,15042
ProductC,2021-10-01,10111
ProductC,2021-11-01,10057
ProductC,2021-12-01,9463
ProductC,2022-01-01,10381
ProductC,2022-02-01,10091
ProductC,2022-03-01,12347
ProductC,2022-04-01,18269
ProductC,2022-05-01,21280
ProductC,2022-06-01,31960
ProductC,2022-07-01,30079
ProductC,2022-08-01,20181
ProductC,2022-09-01,7674
ProductC,2022-10-01,7582
ProductC,2022-11-01,5985
ProductC,2022-12-01,5489
ProductC,2023-01-01,5290
